movie,actor,year,ranking,votes
Zaginiona dziewczyna,Lola Kirke,111.88888888888889,0.44999999999999996,55555.555555555555
Zaginiona dziewczyna,Boyd Holbrook,111.88888888888889,0.44999999999999996,55555.555555555555
Zaginiona dziewczyna,Sela Ward,111.88888888888889,0.44999999999999996,55555.555555555555
Zaginiona dziewczyna,Lee Norris,111.88888888888889,0.44999999999999996,55555.555555555555
Zaginiona dziewczyna,Jamie McShane,111.88888888888889,0.44999999999999996,55555.555555555555
Zaginiona dziewczyna,Leonard Kelly-Young,111.88888888888889,0.44999999999999996,55555.555555555555
Gorączka złota,Charles Chaplin,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Mack Swain,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Tom Murray,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Henry Bergman,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Malcolm Waite,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Georgia Hale,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Jack Adams,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Frank Aderias,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Leona Aderias,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Lillian Adrian,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Sam Allen,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Claude Anderson,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Harry Arras,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Albert Austin,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Marta Belfort,106.94444444444444,0.44999999999999996,6500
Gorączka złota,William Bell,106.94444444444444,0.44999999999999996,6500
Gorączka złota,Francis Bernhardt,106.94444444444444,0.44999999999999996,6500
Gorączka złota,F.J. Beuaregard,106.94444444444444,0.44999999999999996,6500
Przełęcz ocalonych,Andrew Garfield,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Sam Worthington,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Luke Bracey,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Teresa Palmer,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Richard Pyros,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Jacob Warner,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Milo Gibson,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Darcy Bryce,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Roman Guerriero,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,James Lugton,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Kasia Stelmach,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Hugo Weaving,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Rachel Griffiths,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Jarin Towney,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Tim McGarry,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Tyler Coppin,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Richard Platt,112,0.44999999999999996,32277.777777777777
Przełęcz ocalonych,Nathaniel Buzolic,112,0.44999999999999996,32277.777777777777
W imię ojca,Daniel Day-Lewis,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Pete Postlethwaite,110.72222222222223,0.44999999999999996,10277.777777777777
